date,name,category,merchant,amount,notes
2017-10-23,Annual license,training,Pluralsight,149.99,some sample notes
2017-12-07,Lunch,food,Costa Vida,35.64,some sample notes
2018-01-12,Denver trip,travel,Delta,230.88,some sample notes
2018-03-14,New hire expenses,office_supplies,Office Max,234.22,some sample notes
2018-04-08,Monthly restock,office_snacks,Costco,323.19,some sample notes
2018-05-11,Vegas trip,fuel,Maverick,56.87,some sample notes
2018-06-19,Annual license,software_license,JetBrains,299.99,some sample notes
2018-07-23,Sales goal party,offsites,TopGolf,454.63,some sample notes
2018-08-02,Lunch,food,Arby's,12.12,some sample notes
2018-09-26,Denver trip,travel,JetBlue,345.33,some sample notes
2018-10-23,Annual license,training,Pluralsight,149.99,some sample notes
